test2_z.date,xYield_FEDMINFRMWG,xYield_GDPPOT,xYield_GS30,xYield_NYXRSA,xYield_CPIHOSNS,xYield_MSPUS,xYield_UEMPMEAN,xYield_CASTHPI,xYield_FDHBFIN,xYield_POP,xYield_USSTHPI,xYield_POPTHM,xYield_WTB3MS,xYield_CSCICP03USM665S,xYield_DGS3MO,xYield_USSLIND,xYield_DTB3,xYield_MICH,xYield_UMCSENT,xYield_BOXRSA,xYield_TB3MS,xYield_AAA10Y,xYield_DGS30,xYield_RU2000PR,xYield_PCDG,xYield_TOTALSL,xYield_MSPNHSUS,xYield_CPALTT01USQ657N,xYield_MVLOAS,xYield_REALLN,xYield_ASPUS,xYield_GS3M,xYield_FEDMINNFRWG,xYield_DRCLACBS,xYield_SDXRSA,xYield_PCEDG,yFYield_CSUSHPINSA,Q1,Q2,Q3,Q4,BL_yFYield_CSUSHPINSA
1989-03-31,0.0,0.00798703553652036,0.0033296337402886067,-0.0011848341232228998,0.008333333333333304,0.035996488147497896,-0.03875968992248058,0.0478723404255319,0.03314917127071815,0.0013045810709757522,0.006451612903225712,0.0013000731291135104,0.05248768472906429,0.0,0.051745843230403876,-0.0842105263157894,0.05033796239400257,-0.033333333333333326,0.043525571273123065,0.0053547523427039945,0.058240396530359284,0.012684989429175397,0.005561735261401468,0.06388888888888888,0.0,0.030054644808743092,-0.024793388429752095,0.07001448575567348,0.0,0.030165912518853588,0.02777777777777768,0.05948502994011973,0.0,0.03939393939393954,0.042979942693409656,-0.02605210420841686,0.0175675675675675,1,0,0,0,1
1989-06-30,0.0,0.00792374827744613,-0.036504424778760924,-0.010676156583629748,0.008264462809917328,0.007627118644067732,-0.040322580645161255,0.045685279187817285,-0.021390374331550777,0.0021795865685514393,0.019230769230769162,0.0022600016229814557,-0.016299641946128207,-0.003964321110009994,-0.017231839380286273,-0.3448275862068966,-0.01679030257646308,0.1220159151193636,-0.05213764337851934,-0.0013315579227695107,-0.015222482435597096,0.5010438413361171,-0.03761061946902655,0.08355091383812008,0.014403292181069949,0.019893899204244114,0.012711864406779627,0.4835740072202168,0.01754385964912286,0.03221083455344065,0.017325017325017233,-0.015452089479692899,0.0,0.026239067055393583,0.05769230769230771,0.014403292181069949,0.013280212483399723,0,1,0,0,1
1989-09-30,0.0,0.00786145607838673,-0.06773823191733652,-0.017985611510791366,0.016393442622950838,0.00925147182506314,-0.025210084033613467,0.058252427184465994,0.0710382513661203,0.002685145435252778,0.018867924528301883,0.0027568952744143616,-0.06688553450142154,0.0009950248756218638,-0.06776895588928067,-0.18421052631578938,-0.066177958134498,-0.13238770685579204,0.017601760176017445,-0.020000000000000018,-0.06738406658739593,0.19193324061196093,-0.06666666666666665,0.04578313253012056,0.026369168356997985,0.013003901170351106,0.0011129707112971232,-0.5080910086385204,0.010344827586206806,0.03546099290780136,0.023160762942779245,-0.06888633754305407,0.0,0.014204545454545414,0.04025974025974022,0.026369168356997985,0.002621231979030192,0,0,1,0,1
1989-12-31,0.0,0.007687090210264591,-0.023399014778325067,-0.003663003663003761,0.008064516129032251,0.040000000000000036,0.008620689655172376,0.032110091743119185,0.08673469387755106,0.0028233640443176,0.006172839506172867,0.0027291298274512155,-0.024615659179562988,0.0,-0.025291804814317254,0.18999999999999995,-0.024913979864916502,-0.038147138964577665,-0.007567567567567601,-0.008163265306122325,-0.024224497341680196,0.14469078179696626,-0.023399014778325067,-0.032258064516129004,-0.02766798418972327,0.01412066752246477,0.03984686499544443,0.19045263418253766,-0.0068259385665528916,0.03150684931506853,0.0066577896138482195,-0.025067817509247803,0.0,0.0028011204481792618,0.03370786516853941,-0.02766798418972327,0.0013071895424836555,0,0,0,1,1
1990-03-31,0.0,0.0075162665470047685,0.06431273644388402,-0.008578431372548878,0.008000000000000007,-0.007211538461538436,0.0,0.01333333333333342,0.04460093896713624,0.0022434709758494265,0.006134969325153339,0.0022627167094784184,0.014376266091616019,0.0,0.01497199074366784,0.38547031715912183,0.014637652747827135,0.12464589235127499,-0.005446623093681935,-0.002743484224965731,0.013941698352344822,-0.21304791029561665,0.06431273644388402,-0.04523809523809519,0.04674796747967469,0.010126582278481067,-0.005088424437299066,0.7882817369623936,-0.010309278350515427,0.027888446215139417,-0.011243386243386277,0.014746986732770972,0.0,0.005586592178770999,0.021739130434782483,0.04674796747967469,0.009138381201044377,1,0,0,0,1
1990-06-30,0.13432835820895517,0.007348847567085981,0.0248815165876779,-0.016069221260816002,0.007936507936507908,0.023405972558514954,0.0,0.004385964912280604,0.01348314606741563,0.0029738820815568,0.0060975609756097615,0.0031132499919657164,-0.0018810796882046121,-0.0009940357852882276,-0.0019560206814926984,-0.26954933802908754,-0.002163972435113015,-0.09319899244332497,-0.004381161007666945,-0.02613480055020645,-0.001713917525773212,-0.06606217616580312,0.0248815165876779,0.02244389027431426,-0.03300970873786413,0.0025062656641603454,0.023431124613184418,-0.4101312884861159,0.00694444444444442,0.029715762273901714,0.011371237458194017,-0.0012463699475280254,0.13432835820895517,0.002777777777777768,0.013002364066194039,-0.03300970873786413,0.001293661060802087,0,1,0,0,1
1990-09-30,0.0,0.007184702111197039,0.01734104046242768,-0.02638190954773867,0.023622047244094446,-0.07728706624605675,0.042735042735042805,0.008733624454148492,0.02882483370288247,0.003477940322070161,0.0060606060606061,0.003540092346752788,-0.034646116511120595,-0.014925373134328401,-0.03562690368003196,-0.7589285714285714,-0.0348019156544076,0.17500000000000004,-0.1298129812981299,-0.025423728813559254,-0.03485355054410255,-0.03051317614424398,0.016184971098265777,-0.09268292682926826,-0.008032128514056214,0.011249999999999982,-0.07868663503517093,0.700610596809139,0.0,0.027603513174403904,-0.037698412698412676,-0.03660164975727842,0.0,0.05540166204986163,-0.003500583430571691,-0.008032128514056214,-0.012919896640826822,0,0,1,0,0
1990-12-31,0.0,0.00691395961369623,-0.02840909090909094,-0.020645161290322456,0.0,0.03846153846153855,0.016393442622950838,-0.008658008658008698,0.049568965517241326,0.0036016466952295545,-0.0060240963855421326,0.0035395758095733143,-0.0638764458113259,-0.014141414141414232,-0.06549822662904181,-2.024814814814815,-0.0645036177127496,0.11820330969267134,-0.17699115044247793,-0.02753623188405807,-0.0650955635507644,0.2818311874105863,-0.026166097838452584,-0.16129032258064513,-0.02631578947368418,0.003708281829418958,0.04513281919451595,-0.060979847116052754,-0.020689655172413834,0.019536019536019467,0.0316151202749142,-0.06563471502590668,0.0,0.052493438320209806,-0.010538641686182681,-0.02631578947368418,-0.014397905759162444,0,0,0,1,0
1991-03-31,0.0,0.006648501362397807,-0.04093567251462005,-0.023715415019763042,0.01538461538461533,-0.012345679012345734,0.016129032258064502,0.0,0.010266940451745477,0.00313913655840814,0.0121212121212122,0.0030817314956934627,-0.13745571934636036,0.009221311475409832,-0.13958223675097647,0.1807011203469462,-0.13811688683021672,-0.2536997885835096,0.15207373271889413,-0.03427719821162445,-0.13829756795422032,0.018973214285714413,-0.04205607476635531,0.19551282051282048,-0.018711018711018657,-0.006157635467980316,-0.015307419219952934,-0.49263028060437863,-0.03169014084507038,0.020359281437125842,0.0066622251832111345,-0.13954777979565536,0.0,0.02743142144638422,-0.023668639053254448,-0.018711018711018657,0.006640106241699861,1,0,0,0,1
1991-06-30,0.11842105263157898,0.006388046773494915,0.014634146341463428,-0.012145748987854144,0.007575757575757569,-0.0008333333333333526,0.06349206349206349,-0.008733624454148492,0.020325203252032464,0.0031293132168863647,0.0059880239520957446,0.003195154148348811,-0.0794899395545251,0.009137055837563413,-0.07653299418838655,-2.275482093663912,-0.07769502546154228,-0.09348441926345596,0.07600000000000007,-0.010802469135802517,-0.07691796855544308,-0.14786418400876222,0.013414634146341697,0.158176943699732,0.006355932203389925,0.0,-0.011931723563696872,-0.2785948705481949,-0.021818181818181848,0.012910798122065748,-0.019192587690271323,-0.07572462016852755,0.11842105263157898,0.021844660194174637,-0.012121212121212088,0.006355932203389925,0.01055408970976246,0,1,0,0,1
