"","test2_z.date","scaled.BL_yFYield_CSUSHPINSA","scaled.yFYield_CSUSHPINSA","scaled.xYield_CASTHPI","scaled.xYield_TB3MS","scaled.xYield_MSPNHSUS","scaled.xYield_MVLOAS","scaled.Q1","scaled.Q2","unscaled.BL_yFYield_CSUSHPINSA","unscaled.yFYield_CSUSHPINSA","unscaled.xYield_CASTHPI","unscaled.xYield_TB3MS","unscaled.xYield_MSPNHSUS","unscaled.xYield_MVLOAS","unscaled.Q1","unscaled.Q2","distance"
"1","1989-03-31",0.568402425966164,0.469202786410378,1.30563564153172,0.00322462977522827,-1.12900412153517,-0.638633146374937,1.70542504270085,-0.581394900920743,1,0.0174135181882062,0.0465116279069768,0.0582403965303593,-0.0247933884297521,-0.000314973430467269,1,0,2.5755954720909
"2","1989-06-30",0.568402425966164,0.213112522157038,1.41292666519129,-0.143390662757722,0.141307105711517,0.315047420026031,-0.581394900920743,1.70542504270085,1,0.0127457294315636,0.0494279176201373,-0.0152224824355971,0.0127118644067796,0.0178739779414085,0,1,2.32005168594412
"3","1989-09-30",0.568402425966164,-0.304127527726482,1.71234738323181,-0.247485478673396,-0.251464965000167,-0.105618702174707,-0.581394900920743,-0.581394900920743,1,0.00331793139960435,0.0575665067597033,-0.0673801034482758,0.00111548117154814,0.0098508768003418,0,0,1.93489343983588
"4","1989-12-31",0.568402425966164,-0.393408223924144,0.759275114799598,-0.161356443226144,1.060287271082,-1.05241830331483,-0.581394900920743,-0.581394900920743,1,0.00169060116465092,0.0316609392898053,-0.0242243944004354,0.0398442574099351,-0.00820683823629709,0,0,1.87359762108314
"5","1990-03-31",0.568402425966164,-0.0232117785890257,0.0372645096600052,-0.0851943661851164,-0.461674303771258,-1.23190238725845,1.70542504270085,-0.581394900920743,1,0.00843821732383021,0.0120358855924676,0.0139372826715756,-0.00509083601286175,-0.0116300256114958,1,0,2.23290572691582
"6","1990-06-30",0.568402425966164,-0.38984579641452,-0.282834588896104,-0.116439194260615,0.504372748669031,-0.232757654328717,-0.581394900920743,1.70542504270085,1,0.00175553396920036,0.00333523500241362,-0.00171821262886596,0.0234311814082464,0.00742603529714581,0,1,1.9101350980945
"7","1990-09-30",-1.7444074452065,-1.19577513503683,-0.0981889570743824,-0.182570134349393,-2.95430642364226,-0.509701286052285,-0.581394900920743,-0.581394900920743,0,-0.0129342392497773,0.00835410925950231,-0.0348537005013537,-0.0786844529777755,0.00214406308586268,0,0,3.11556332509199
"8","1990-12-31",-1.7444074452065,-1.28333841058883,-0.651296425846855,-0.242917735944923,1.2393249610463,-1.77224583039515,-0.581394900920743,-0.581394900920743,0,-0.0145302658473059,-0.00667996876897714,-0.0650913958693307,0.0451302485004283,-0.0219356572428667,0,0,2.41578512389165
"9","1991-03-31",0.568402425966164,-0.141558563885723,-0.440883057588362,-0.389011183269038,-0.807630206767615,-2.19106101111856,1.70542504270085,-0.581394900920743,1,0.00628109590649184,-0.000960698689956296,-0.138292799713877,-0.0153049971836575,-0.0299234565378966,1,0,3.00752673863293
"10","1991-06-30",0.568402425966164,0.0763855983051027,-0.637105975233997,-0.266531094533271,-0.693461286566385,-1.8200344793777,-0.581394900920743,1.70542504270085,1,0.0102535909672328,-0.00629425649095194,-0.0769230764122431,-0.0119342214820983,-0.0228471001757466,0,1,2.7416877132908
"11","1991-09-30",-1.7444074452065,-0.847824208230745,-0.403920421988893,-0.178817919860438,0.167430458244817,-0.961332597679193,-0.581394900920743,-0.581394900920743,0,-0.0065920948939806,4.39869798538606e-05,-0.0329736205035971,0.0134831422800161,-0.00646961769427445,0,0,1.35031882868635
"12","1991-12-31",-1.7444074452065,-0.724945051933545,-0.1336776287213,-0.423573723657354,-0.0733521188581019,-1.23966068250239,-0.581394900920743,-0.581394900920743,0,-0.00435236139273987,0.00738948757422486,-0.155610663883688,0.00637416674773661,-0.0117779947113101,0,0,1.55417618387043
"13","1992-03-31",0.568402425966164,-0.0229284989760397,-0.603119842281238,-0.397283252332956,-0.839584176797689,-0.996385156352206,1.70542504270085,-0.581394900920743,1,0.00844338069619166,-0.00537047548356107,-0.142437592511013,-0.0162484208891273,-0.00713815316372346,1,0,2.337898009656
"14","1992-06-30",0.568402425966164,-0.247620989409872,-0.78668439782761,-0.222367499862173,-0.260800132738848,-1.11879889612048,-0.581394900920743,1.70542504270085,1,0.00434788302623135,-0.0103599648814751,-0.0547945197386939,0.000839865386375926,-0.00947287365435623,0,1,2.28791213403513
"15","1992-09-30",-1.7444074452065,-0.586792833784773,-0.47734367045538,-0.436600175840044,0.0423309750894435,0.241713872692056,-0.581394900920743,-0.581394900920743,0,-0.0018342439138882,-0.00195173882185951,-0.162137682065218,0.00978964761128753,0.0164753331819598,0,0,1.0745856236729
"16","1992-12-31",-1.7444074452065,-0.613968518427516,-0.748914367907652,-0.121640401675351,1.48401484441729,-0.649314687414081,-0.581394900920743,-0.581394900920743,0,-0.00232957846164739,-0.0093333333333333,-0.0043243232479182,0.0523545851397742,-0.000518695764110788,0,0,1.96865913787889
"17","1993-03-31",0.568402425966164,0.0159799072757281,-0.984873719449802,-0.184519842524678,-0.957913917715098,-0.332338760731373,1.70542504270085,-0.581394900920743,1,0.00915256900434702,-0.0157469717362047,-0.0358306188925082,-0.0197420425748993,0.00552678730391998,1,0,2.29751312254638
